2025-06-11 15:25:33 - Face detected at X:269, Y:144, W:203, H:203
2025-06-11 15:25:33 - Face detected at X:269, Y:143, W:205, H:205
2025-06-11 15:25:33 - Face detected at X:269, Y:144, W:202, H:202
2025-06-11 15:25:33 - Face detected at X:268, Y:143, W:207, H:207
2025-06-11 15:25:33 - Face detected at X:268, Y:144, W:205, H:205
2025-06-11 15:25:33 - Face detected at X:270, Y:145, W:201, H:201
2025-06-11 15:25:33 - Face detected at X:270, Y:145, W:201, H:201
2025-06-11 15:25:33 - Face detected at X:269, Y:143, W:204, H:204
2025-06-11 15:25:33 - Face detected at X:269, Y:143, W:204, H:204
2025-06-11 15:25:33 - Face detected at X:269, Y:143, W:203, H:203
2025-06-11 15:25:33 - Face detected at X:270, Y:143, W:203, H:203
2025-06-11 15:25:33 - Face detected at X:268, Y:142, W:206, H:206
2025-06-11 15:25:33 - Face detected at X:268, Y:143, W:205, H:205
2025-06-11 15:25:33 - Face detected at X:268, Y:142, W:206, H:206
2025-06-11 15:25:33 - Face detected at X:269, Y:143, W:204, H:204
2025-06-11 15:25:33 - Face detected at X:270, Y:144, W:200, H:200
2025-06-11 15:25:33 - Face detected at X:269, Y:143, W:203, H:203
2025-06-11 15:25:33 - Face detected at X:269, Y:144, W:204, H:204
2025-06-11 15:25:33 - Face detected at X:269, Y:144, W:203, H:203
2025-06-11 15:25:33 - Face detected at X:269, Y:142, W:204, H:204
2025-06-11 15:25:33 - Face detected at X:268, Y:142, W:204, H:204
2025-06-11 15:25:34 - Face detected at X:268, Y:143, W:204, H:204
2025-06-11 15:25:34 - Face detected at X:268, Y:143, W:204, H:204
2025-06-11 15:25:34 - Face detected at X:270, Y:144, W:203, H:203
2025-06-11 15:25:34 - Face detected at X:269, Y:144, W:203, H:203
2025-06-11 15:25:34 - Face detected at X:271, Y:144, W:201, H:201
2025-06-11 15:25:34 - Face detected at X:270, Y:143, W:203, H:203
2025-06-11 15:25:34 - Face detected at X:269, Y:144, W:204, H:204
2025-06-11 15:25:34 - Face detected at X:267, Y:143, W:206, H:206
2025-06-11 15:25:34 - Face detected at X:267, Y:143, W:207, H:207
2025-06-11 15:25:34 - Face detected at X:269, Y:143, W:204, H:204
2025-06-11 15:25:34 - Face detected at X:268, Y:144, W:204, H:204
2025-06-11 15:25:34 - Face detected at X:267, Y:144, W:205, H:205
2025-06-11 15:25:34 - Face detected at X:268, Y:146, W:202, H:202
2025-06-11 15:25:34 - Face detected at X:269, Y:144, W:203, H:203
2025-06-11 15:25:34 - Face detected at X:269, Y:145, W:202, H:202
2025-06-11 15:25:34 - Face detected at X:269, Y:145, W:202, H:202
2025-06-11 15:25:34 - Face detected at X:267, Y:145, W:206, H:206
2025-06-11 15:25:34 - Face detected at X:268, Y:145, W:205, H:205
2025-06-11 15:25:34 - Face detected at X:268, Y:144, W:203, H:203
2025-06-11 15:25:34 - Face detected at X:268, Y:144, W:204, H:204
2025-06-11 15:25:34 - Face detected at X:266, Y:145, W:204, H:204
2025-06-11 15:25:34 - Face detected at X:267, Y:142, W:208, H:208
2025-06-11 15:25:34 - Face detected at X:266, Y:143, W:208, H:208
2025-06-11 15:25:34 - Face detected at X:268, Y:144, W:206, H:206
2025-06-11 15:25:34 - Face detected at X:269, Y:144, W:203, H:203
2025-06-11 15:25:34 - Face detected at X:271, Y:145, W:200, H:200
